"","UniProt_ID","Tissue_specificity"
"125","P05451","Enhanced expression of PSP-related transcripts and intraneuronal accumulation of PSP-like proteins is found in brain from Alzheimer disease and Down syndrome patients"
"126","P05543","Expressed by the liver and secreted in plasma."
"127","P07306","Expressed exclusively in hepatic parenchymal cells."
"128","P07339","Expressed in the aorta extracellular space (at protein level) "
"129","P07339","Expressed in liver (at protein level) "
"130","P07451","Muscle specific."
"131","P07478","Expressed in Paneth cells, at the base of small intestinal crypts"
"132","P07911","Expressed in the tubular cells of the kidney"
"133","P07911","Most abundant protein in normal urine (at protein level)"
"134","P07911","Synthesized exclusively in the kidney"
"135","P07911","Expressed exclusively by epithelial cells of the thick ascending limb of Henle's loop (TALH) and of distal convoluted tubule lumen"
"136","P08253","Produced by normal skin fibroblasts"
"137","P08253","PEX is expressed in a number of tumors including gliomas, breast and prostate"
"138","P08581","Expressed in normal hepatocytes as well as in epithelial cells lining the stomach, the small and the large intestine"
"139","P08581","Found also in basal keratinocytes of esophagus and skin"
"140","P08581","High levels are found in liver, gastrointestinal tract, thyroid and kidney"
"141","P08581","Also present in the brain"
"142","P08581","Expressed in metaphyseal bone (at protein level) "
"143","P08709","Plasma."
"144","P08887","Isoform 2 is expressed in peripheral blood mononuclear cells and weakly found in urine and serum."
"145","P08962","Detected in platelets (at protein level)"
"146","P08962","Dysplastic nevi, radial growth phase primary melanomas, hematopoietic cells, tissue macrophages"
"147","P09038","Expressed in granulosa and cumulus cells"
"148","P09038","Expressed in hepatocellular carcinoma cells, but not in non-cancerous liver tissue"
"149","P09382","Expressed in placenta, maternal decidua and fetal membranes"
"150","P09382","Within placenta, expressed in trophoblasts, stromal cells, villous endothelium, syncytiotrophoblast apical membrane and villous stroma"
"151","P09382","Within fetal membranes, expressed in amnion, chorioamniotic mesenchyma and chorion (at protein level)"
"152","P09382","Expressed in cardiac, smooth, and skeletal muscle, neurons, thymus, kidney and hematopoietic cells"
"153","P09466","This protein is, the main protein synthesized and secreted in the endometrium from mid-luteal phase of the menstrual cycle and during the first semester of pregnancy "
"154","P09466","Glycodelin-A is expressed in amniotic fluid, endometrium/decidua and maternal serum (at protein level) "
"155","P09466","Glycodelin-F is expressed in follicular fluid, luteinized granulosa cells and the oviduct (at protein level) "
"156","P09466","Glycodelin-S is expressed in seminal plasma and seminal vesicles (at protein level) "
"157","P09466","Glycodelin-C is detected in cumulus cells (at protein level), but cumulus cells do not synthesize Glycodelin-C but take up and convert glycodelin-A and -F vis glycan remodeling "
"158","P09601","Expressed at higher levels in renal cancer tissue than in normal tissue (at protein level)"
"159","P10451","Bone"
"160","P10451","Found in plasma."
"161","P10646","Mostly in endothelial cells."
"162","P10721","Isoform 1 and isoform 2 are detected in spermatogonia and Leydig cells"
"163","P10721","Isoform 3 is detected in round spermatids, elongating spermatids and spermatozoa (at protein level)"
"164","P10721","Widely expressed"
"165","P10721","Detected in the hematopoietic system, the gastrointestinal system, in melanocytes and in germ cells"
"166","P10747","Expressed in T-cells and plasma cells, but not in less mature B-cells."
"167","P11215","Predominantly expressed in monocytes and granulocytes "
"168","P11215","Expressed in neutrophils (at protein level) "
"169","P11226","Plasma protein produced mainly in the liver"
"170","P11684","Clara cells (nonciliated cells of the surface epithelium of the pulmonary airways)."
"171","P12034","Expressed in neonatal brain."
"172","P12318","Found on monocytes, neutrophils and eosinophil platelets."
"173","P12830","Non-neural epithelial tissues."
"174","P13385","Preferentially expressed in gastric and colorectal carcinomas than in their normal counterparts"
"175","P13385","Expressed in breast and lung"
"176","P13500","Expressed in the seminal plasma, endometrial fluid and follicular fluid (at protein level) "
"177","P13500","Expressed in monocytes "
"178","P13501","Expressed in the follicular fluid (at protein level)"
"179","P13501","T-cell and macrophage specific"
"180","P14151","Expressed in B-cell lines and T-lymphocytes"
"181","P14207","Expressed in placenta and hematopoietic cells"
"182","P14207","Expression is increased in malignant tissues"
"183","P14778","Expressed in T-helper cell subsets"
"184","P14778","Preferentially expressed in T-helper 1 (Th1) cells"
"185","P14780","Detected in neutrophils (at protein level) "
"186","P14780","Produced by normal alveolar macrophages and granulocytes"
"187","P15086","Pancreas"
"188","P15144","Expressed in epithelial cells of the kidney, intestine, and respiratory tract; granulocytes, monocytes, fibroblasts, endothelial cells, cerebral pericytes at the blood-brain barrier, synaptic membranes of cells in the CNS"
"189","P15144","Also expressed in endometrial stromal cells, but not in the endometrial glandular cells"
"190","P15144","Found in the vasculature of tissues that undergo angiogenesis and in malignant gliomas and lymph node metastases from multiple tumor types but not in blood vessels of normal tissues"
"191","P15144","A soluble form has been found in plasma"
"192","P15144","It is found to be elevated in plasma and effusions of cancer patients"
"193","P15529","Expressed by all cells except erythrocytes."
"194","P15692","Isoform VEGF189, isoform VEGF165 and isoform VEGF121 are widely expressed"
"195","P15692","Isoform VEGF206 and isoform VEGF145 are not widely expressed"
"196","P15692","A higher level expression seen in pituitary tumors as compared to the pituitary gland"
"197","P16109","Stored in the alpha-granules of platelets and Weibel-Palade bodies of endothelial cells"
"198","P16109","Upon cell activation by agonists, P-selectin is transported rapidly to the cell surface."
"199","P16284","Expressed on platelets and leukocytes and is primarily concentrated at the borders between endothelial cells "
"200","P16284","Expressed in human umbilical vein endothelial cells (HUVECs) (at protein level) "
"201","P16284","Expressed on neutrophils (at protein level) "
"202","P16284","Isoform Long predominates in all tissues examined "
"203","P16284","Isoform Delta12 is detected only in trachea "
"204","P16284","Isoform Delta14-15 is only detected in lung "
"205","P16284","Isoform Delta14 is detected in all tissues examined with the strongest expression in heart "
"206","P16284","Isoform Delta15 is expressed in brain, testis, ovary, cell surface of platelets, human umbilical vein endothelial cells (HUVECs), Jurkat T-cell leukemia, human erythroleukemia (HEL) and U-937 histiocytic lymphoma cell lines (at protein level) "
"207","P16422","Highly and selectively expressed by undifferentiated rather than differentiated embryonic stem cells (ESC)"
"208","P16422","Levels rapidly diminish as soon as ESC's differentiate (at protein levels)"
"209","P16422","Expressed in almost all epithelial cell membranes but not on mesodermal or neural cell membranes"
"210","P16422","Found on the surface of adenocarcinoma"
"211","P17813","Detected on umbilical veil endothelial cells "
"212","P17813","Detected in placenta (at protein level) "
"213","P17813","Detected on endothelial cells "
"214","P17931","A major expression is found in the colonic epithelium"
"215","P17931","It is also abundant in the activated macrophages"
"216","P17931","Expressed in fetal membranes"
"217","P17936","Expressed by most tissues"
"218","P17936","Present in plasma."
"219","P18031","Expressed in keratinocytes (at protein level)"
"220","P19320","Expressed on inflamed vascular endothelium, as well as on macrophage-like and dendritic cell types in both normal and inflamed tissue."
"221","P19801","Placenta and kidney."
"222","P20023","Mature B-lymphocytes, T-lymphocytes, pharyngeal epithelial cells, astrocytes and follicular dendritic cells of the spleen."
"223","P20138","Monocytic/myeloid lineage cells"
"224","P20138","In the brain, CD33 is mainly expressed on microglial cells."
"225","P20718","Constitutively expressed in NK cells"
"226","P20783","Brain and peripheral tissues."
"227","P21246","Osteoblast and brain"
"228","P22105","Highly expressed in fetal adrenal, in fetal testis, fetal smooth, striated and cardiac muscle"
"229","P22105","Isoform XB-short is only expressed in the adrenal gland."
"230","P22301","Produced by a variety of cell lines, including T-cells, macrophages, mast cells and other cell types"
"231","P22748","Expressed in the endothelium of the choriocapillaris in eyes (at protein level)"
"232","P22748","Not expressed in the retinal epithelium at detectable levels"
"233","P22749","Expressed in natural killer and T-cells."
"234","P23141","Expressed predominantly in liver with lower levels in heart and lung"
"235","P23443","Widely expressed"
"236","P24001","Selectively expressed in lymphocytes"
"237","P24001","Expression is more prominent in immune cells than in non-immune cells"
"238","P24071","Isoform A.1, isoform A.2 and isoform A.3 are differentially expressed between blood and mucosal myeloid cells"
"239","P24071","Isoform A.1, isoform A.2 and isoform A.3 are expressed in monocytes"
"240","P24071","Isoform A.1 and isoform A.2 are expressed in alveolar macrophages; however only one isoform is expressed at alveolar macrophages surfaces"
"241","P24158","Expressed in polymorphonuclear leukocytes (at protein level) "
"242","P24158","Expressed in neutrophils (at protein level) "
"243","P24158","Expressed in differentiating neutrophils "
"244","P25445","Isoform 1 and isoform 6 are expressed at equal levels in resting peripheral blood mononuclear cells"
"245","P25445","After activation there is an increase in isoform 1 and decrease in the levels of isoform 6"
"246","P25942","B-cells and in primary carcinomas."
"247","P26842","Found in most T-lymphocytes."
"248","P27487","Expressed specifically in lymphatic vessels but not in blood vessels in the skin, small intestine, esophagus, ovary, breast and prostate glands"
"249","P27487","Not detected in lymphatic vessels in the lung, kidney, uterus, liver and stomach (at protein level)"
"250","P27487","Expressed in the poorly differentiated crypt cells of the small intestine as well as in the mature villous cells"
"251","P27487","Expressed at very low levels in the colon"
"252","P28325","Expressed in submandibular and sublingual saliva but not in parotid saliva (at protein level)"
"253","P28325","Expressed in parotid gland but not in seminal vesicle, prostate, epididymis, testis, ovary, placenta, thyroid, gastric corpus, small intestine, liver, or gall bladder tissue"
"254","P28799","In myelogenous leukemic cell lines of promonocytic, promyelocytic, and proerythroid lineage, in fibroblasts, and very strongly in epithelial cell lines"
"255","P28799","Present in inflammatory cells and bone marrow"
"256","P28799","Highest levels in kidney."
"257","P29474","Platelets, placenta, liver and kidney"
"258","P29965","Specifically expressed on activated CD4+ T-lymphocytes."
"259","P30203","Detected on thymocytes "
"260","P30203","Detected on peripheral blood T-cells "
"261","P30203","Detected on natural killer (NK) cells "
"262","P30203","Soluble CD6 is detected in blood serum (at protein level) "
"263","P30203","Detected in spleen, thymus, appendix, lymph node and peripheral blood leukocytes "
"264","P30203","Expressed by thymocytes, mature T-cells, a subset of B-cells known as B-1 cells, and by some cells in the brain"
"265","P30530","Highly expressed in metastatic colon tumors"
"266","P30530","Expressed in primary colon tumors"
"267","P30530","Weakly expressed in normal colon tissue"
"268","P32926","Epidermis, tongue, tonsil, esophagus and carcinomas."
"269","P32942","Leukocytes"
"270","P33151","Endothelial tissues and brain."
"271","P35247","Expressed in lung, brain, pancreas and adipose tissue (mainly mature adipocytes)"
"272","P35542","Expressed by the liver; secreted in plasma."
"273","P35590","Specifically expressed in developing vascular endothelial cells."
"274","P35968","Detected in cornea (at protein level)"
"275","P35968","Widely expressed"
"276","P36222","Present in activated macrophages, articular chondrocytes, synovial cells as well as in liver"
"277","P36222","Very low or undetectable expression in non-inflammatory colon"
"278","P36222","Undetectable in muscle tissues, lung, pancreas, mononuclear cells, or fibroblasts"
"279","P39060","Present in multiple organs with highest levels in liver, lung and kidney."
"280","P39900","Found in alveolar macrophages but not in peripheral blood monocytes."
"281","P39905","In the brain, predominantly expressed in the striatum with highest levels in the caudate and lowest in the putamen"
"282","P39905","Isoform 2 is absent from most tissues except for low levels in intestine and kidney"
"283","P39905","Highest expression of isoform 3 is found in pancreatic islets"
"284","P39905","Isoform 5 is expressed at very low levels in putamen, nucleus accumbens, prefrontal cortex, amygdala, hypothalamus and intestine"
"285","P39905","Isoform 3 is up-regulated in the middle temporal gyrus of Alzheimer disease patients while isoform 2 shows no change"
"286","P40198","CGM1a, the predominant CGM1 transcript, is granulocyte-specific"
"287","P40198","Not detected out of the granulocytic lineage, such as monocytes, lymphocytes, spleen, testis, colon, brain, liver, pancreas, thymus, ovary, placenta, skeletal muscle, prostate, small intestine, heart, lung and kidney"
"288","P40933","Most abundant in placenta and skeletal muscle"
"289","P40933","It is also detected in the heart, lung, liver and kidney"
"290","P40933","IL15-S21AA is preferentially expressed in tissues such as testis and thymus."
"291","P41227","Ubiquitous"
"292","P42574","Highly expressed in lung, spleen, heart, liver and kidney"
"293","P42574","Moderate levels in brain and skeletal muscle, and low in testis"
"294","P42574","Also found in many cell lines, highest expression in cells of the immune system."
"295","P42785","Highest levels in placenta, lung and liver"
"296","P42785","Also present in heart, brain, pancreas and kidney."
"297","P42892","All isoforms are expressed in umbilical vein endothelial cells, polynuclear neutrophils, fibroblasts, atrium cardiomyocytes and ventricles"
"298","P42892","Isoforms A, B and C are also expressed in placenta, lung, heart, adrenal gland and phaeochromocytoma; isoforms A and C in liver, testis and small intestine; isoform B, C and D in endothelial cells and umbilical vein smooth muscle cells; isoforms C and D in saphenous vein cells, and isoform C in kidney"
"299","P46531","In fetal tissues most abundant in spleen, brain stem and lung"
"300","P46531","Also present in most adult tissues where it is found mainly in lymphoid tissues."
"301","P48061","Isoform Alpha and isoform Beta are ubiquitously expressed, with highest levels detected in liver, pancreas and spleen"
"302","P48061","Isoform Gamma is mainly expressed in heart, with weak expression detected in several other tissues"
"303","P48061","Isoform Delta, isoform Epsilon and isoform Theta have highest expression levels in pancreas, with lower levels detected in heart, kidney, liver and spleen"
"304","P48357","Isoform A is expressed in fetal liver and in hematopoietic tissues and choroid plexus"
"305","P48357","In adults highest expression in heart, liver, small intestine, prostate and ovary"
"306","P48357","Low level in lung and kidney"
"307","P48357","Isoform B is highly expressed in hypothalamus, but also in skeletal muscle"
"308","P48357","Detected in fundic and antral epithelial cells of the gastric mucosa "
"309","P48357","Isoform B and isoform A are expressed by NK cells (at protein level) "
"310","P49747","Abundantly expressed in the chondrocyte extracellular matrix, and is also found in bone, tendon, ligament and synovium and blood vessels"
"311","P49747","Increased amounts are produced during late stages of osteoarthritis in the area adjacent to the main defect"
"312","P49763","While the three isoforms are present in most placental tissues, PlGF-2 is specific to early (8 week) placenta and only PlGF-1 is found in the colon and mammary carcinomas."
"313","P49767","Spleen, lymph node, thymus, appendix, bone marrow, heart, placenta, ovary, skeletal muscle, prostate, testis, colon and small intestine and fetal liver, lung and kidney, but not in peripheral blood lymphocyte."
"314","P49789","Low levels expressed in all tissues tested"
"315","P49789","Phospho-FHIT observed in liver and kidney, but not in brain and lung"
"316","P49789","Phospho-FHIT undetected in all tested human tumor cell lines."
"317","P50225","Liver, lung, adrenal, brain, platelets and skin."
"318","P50591","Widespread; most predominant in spleen, lung and prostate."
"319","P52943","Widespread tissue expression; highest levels in the heart."
"320","P54760","Abundantly expressed in placenta but also detected in kidney, liver, lung, pancreas, skeletal muscle and heart"
"321","P54760","Expressed in primitive and myeloid, but not lymphoid, hematopoietic cells"
"322","P54760","Also observed in cell lines derived from liver, breast, colon, lung, melanocyte and cervix"
"323","P55058","Wide tissue distribution"
"324","P55058","Placenta > pancreas > lung > kidney > heart > liver > skeletal muscle > brain."
"325","P55291","Expressed in the brain and cerebellum"
"326","P55773","High levels in adult lung, liver, skeletal muscle and pancreas"
"327","P55773","Moderate levels in fetal liver, adult bone marrow and placenta"
"328","P55773","The short form is the major species and the longer form was detected only in very low abundance"
"329","P55773","CCL23(19-99), CCL23(22-99), CCL23(27-99), CCL23(30-99) are found in high levels in synovial fluids from rheumatoid patients"
"330","P55774","Expressed at high levels in lung, lymph nodes, placenta, bone marrow, dendritic cells present in germinal centers and T-cell areas of secondary lymphoid organs and macrophages derived from peripheral blood monocytes"
"331","P55774","Not expressed by peripheral blood monocytes and a monocyte-to-macrophage differentiation is a prerequisite for expression"
"332","P55774","Expressed in synovial fluids from patients with rheumatoid and septic arthritis and in ovarian carcinoma ascitic fluid"
"333","P78324","Ubiquitous"
"334","P78324","Highly expressed in brain"
"335","P78324","Detected on myeloid cells, but not T-cells"
"336","P78324","Detected at lower levels in heart, placenta, lung, testis, ovary, colon, liver, small intestine, prostate, spleen, kidney, skeletal muscle and pancreas."
"337","P78423","Expressed in the seminal plasma, endometrial fluid and follicular fluid (at protein level)"
"338","P78423","Small intestine, colon, testis, prostate, heart, brain, lung, skeletal muscle, kidney and pancreas"
"339","P78423","Most abundant in the brain and heart"
"340","P78556","Expressed in the seminal plasma, endometrial fluid and follicular fluid (at protein level)"
"341","P78556","Expressed predominantly in the liver, lymph nodes, appendix, peripheral blood lymphocytes, and fetal lung"
"342","P78556","Low levels seen in thymus, prostate, testis, small intestine and colon"
"343","P78560","Constitutively expressed in most tissues, with particularly high expression in adult heart, testis, liver, skeletal muscle, fetal liver and kidney"
"344","P80075","Highest expression found in the small intestine and peripheral blood cells"
"345","P80075","Intermediate levels seen in the heart, placenta, lung, skeletal muscle, thymus, colon, ovary, spinal cord and pancreas"
"346","P80075","Low levels seen in the brain, liver, spleen and prostate."
"347","P80188","Detected in neutrophils (at protein level) "
"348","P80188","Expressed in bone marrow and in tissues that are prone to exposure to microorganism"
"349","P80188","High expression is found in bone marrow as well as in uterus, prostate, salivary gland, stomach, appendix, colon, trachea and lung"
"350","P80188","Not found in the small intestine or peripheral blood leukocytes"
"351","P80370","Found within the stromal cells in close contact to the vascular structure of placental villi, yolk sac, fetal liver, adrenal cortex and pancreas and in the beta cells of the islets of Langerhans in the adult pancreas"
"352","P80370","Found also in some forms of neuroendocrine lung tumor tissue."
"353","P80511","Predominantly expressed by neutrophils, monocytes and activated macrophages"
"354","P80511","Expressed by eosinophils and macrophages in asthmatic airways in regions where mast cells accumulate"
"355","P80511","Found in high concentrations in the serum of patients suffering from various inflammatory disorders, such as rheumatoid arthritis, psoriatic arthritis, Crohn's disease, ulcerative colitis, and Kawasaki disease."
"356","P98160","Found in the basement membranes."
"357","Q01151","Expressed by activated lymphocytes, Langerhans cells and interdigitating reticulum cells."
"358","Q01638","Highly expressed in kidney, lung, placenta, stomach, skeletal muscle, colon and small intestine"
"359","Q01638","Isoform A is prevalently expressed in the lung, testis, placenta, stomach and colon"
"360","Q01638","Isoform B is more abundant in the brain, kidney and the liver"
"361","Q01638","Isoform C is not detected in brain, heart, liver, kidney and skeletal muscle"
"362","Q01638","Expressed on T-cells in fibrotic liver; at protein level"
"363","Q01638","Overexpressed in fibrotic and cirrhotic liver"
"364","Q02763","Detected in umbilical vein endothelial cells"
"365","Q02763","Proteolytic processing gives rise to a soluble extracellular domain that is detected in blood plasma (at protein level)"
"366","Q02763","Predominantly expressed in endothelial cells and their progenitors, the angioblasts"
"367","Q02763","Has been directly found in placenta and lung, with a lower level in umbilical vein endothelial cells, brain and kidney"
"368","Q03405","Expressed in neurons of the rolandic area of the brain (at protein level)"
"369","Q03405","Expressed in the brain."
"370","Q06141","Highly expressed in epidermal keratinocytes of psoriasis patients (at protein level)"
"371","Q06141","Constitutively expressed in intestine"
"372","Q06141","Low expression is found in healthy pancreas"
"373","Q06141","Overexpressed during the acute phase of pancreatitis and in some patients with chronic pancreatitis"
"374","Q07011","Expressed on the surface of activated T-cells."
"375","Q07654","Expressed in goblet cells of the intestines and colon (at protein level)"
"376","Q07654","Expressed by goblet cells of small and large intestinal epithelia and also by the uterus"
"377","Q07654","Also expressed in the hypothalamus where it is detected in paraventricular, periventricular and supraoptic nuclei (at protein level)"
